url,strategy,score,lcp_ms,tbt_ms,cls,fcp_ms,si_ms,field_lcp_ms,field_inp_ms,field_cls
https://pixeltool.pro/tools/timer-countdown,mobile,66,6464,201,0.000,2624,5608,,,
https://pixeltool.pro/tools/ascii-art-generator,mobile,71,8127,52,0.000,1953,4931,,,
https://pixeltool.pro/tools/pixel-art-editor,mobile,69,6464,34,0.000,2606,5311,,,
https://pixeltool.pro/tools/remove-background,mobile,67,7530,219,0.001,1870,5313,,,
https://pixeltool.pro/tools/date-difference-calculator,mobile,67,6327,191,0.000,2659,5341,,,
https://pixeltool.pro/tools/timezone-difference,mobile,69,6314,104,0.000,2661,5337,,,
https://pixeltool.pro/tools/compress-image,mobile,59,5424,534,0.008,2269,5664,,,
https://pixeltool.pro/tools/percent-calculator,mobile,78,5266,10,0.008,1352,4005,,,
https://pixeltool.pro/tools/bitcoin-calculator,mobile,68,6777,40,0.000,2853,5614,,,
https://pixeltool.pro/tools/destiny-matrix-calculator,mobile,67,7531,100,0.000,2659,5299,,,
https://pixeltool.pro/tools/unit-converter,mobile,69,6776,200,0.001,1844,5149,,,
https://pixeltool.pro/tools/ab-test-calculator,mobile,69,6316,15,0.000,2765,5281,,,
https://pixeltool.pro/tools/world-aquatics-points-calculator,mobile,71,6613,58,0.000,2103,5087,,,
https://pixeltool.pro/tools/photo-color-picker,mobile,71,7529,95,0.000,1859,4957,,,
https://pixeltool.pro/tools/fraction-calculator,mobile,73,6311,62,0.000,1845,4925,,,
https://pixeltool.pro/tools/age-calculator,mobile,75,5315,189,0.008,1352,4355,,,
https://pixeltool.pro/tools/proportion-calculator,mobile,71,6322,83,0.000,2182,5396,,,
https://pixeltool.pro/tools/concrete-calculator,mobile,71,6477,139,0.000,1853,4973,,,
https://pixeltool.pro/tools/tile-calculator,mobile,72,6323,129,0.000,1716,4953,,,
https://pixeltool.pro/tools/reaction-test,mobile,69,6476,190,0.000,1862,5127,,,
https://pixeltool.pro/tools/random-movie-generator,mobile,66,6472,187,0.000,2659,5299,,,
https://pixeltool.pro/tools/typing-speed-test,mobile,70,7569,97,0.000,2148,5096,,,
https://pixeltool.pro/tools/bmi-calculator,mobile,73,6315,47,0.000,1854,4887,,,
https://pixeltool.pro/tools/calorie-calculator,mobile,70,6316,52,0.000,2625,5260,,,
https://pixeltool.pro/tools/expiry-date-calculator,mobile,80,5109,71,0.004,1352,2965,,,
