url,strategy,score,lcp_ms,tbt_ms,cls,fcp_ms,si_ms,field_lcp_ms,field_inp_ms,field_cls
https://pixeltool.pro/tools/css-clamp-calculator,mobile,77,5409,108,0.010,1352,4063,,,
https://pixeltool.pro/tools/flexbox-generator,mobile,65,8369,189,0.000,2448,5458,,,
https://pixeltool.pro/tools/grid-generator,mobile,66,8381,178,0.000,2449,5230,,,
https://pixeltool.pro/tools/css-specificity-calculator,mobile,69,7526,99,0.000,2169,5144,,,
https://pixeltool.pro/tools/css-bezier-curve-generator,mobile,66,6312,205,0.000,2867,5263,,,
https://pixeltool.pro/tools/color-converter,mobile,69,6464,115,0.000,2458,5275,,,
https://pixeltool.pro/tools/css-minifier,mobile,79,5258,10,0.008,1352,3945,,,
https://pixeltool.pro/tools/px-rem-converter,mobile,56,8622,534,0.000,1886,5206,,,
https://pixeltool.pro/tools/css-box-shadow-generator,mobile,77,4957,203,0.004,1352,3162,,,
https://pixeltool.pro/tools/css-gradient-generator,mobile,55,8531,447,0.000,2838,5681,,,
https://pixeltool.pro/tools/color-contrast-checker,mobile,61,4659,838,0.004,1352,4461,,,
https://pixeltool.pro/tools/css-keyframes-generator,mobile,43,8755,1094,0.000,2889,5862,,,
https://pixeltool.pro/tools/html-checker,mobile,71,7137,120,0.000,1695,4910,,,
https://pixeltool.pro/tools/html-xml-parser,mobile,73,6464,53,0.000,1851,4909,,,
https://pixeltool.pro/tools/favicon-generator,mobile,57,8919,420,0.000,2642,5573,,,
https://pixeltool.pro/tools/opengraph-validator,mobile,73,6461,17,0.000,1840,4905,,,
https://pixeltool.pro/tools/json-tools,mobile,69,6474,169,0.000,2185,5102,,,
https://pixeltool.pro/tools/regex-tester,mobile,70,8134,78,0.000,1840,5012,,,
https://pixeltool.pro/tools/javascript-syntax-checker,mobile,66,6324,222,0.000,2672,5197,,,
https://pixeltool.pro/tools/http-status-codes,mobile,69,6464,109,0.000,2623,5315,,,
https://pixeltool.pro/tools/special-symbols-picker,mobile,63,7218,167,0.000,3303,5752,,,
https://pixeltool.pro/tools/fancy-text-generator,mobile,68,7074,164,0.000,2403,5029,,,
https://pixeltool.pro/tools/text-case-converter,mobile,70,6323,140,0.000,2335,5077,,,
https://pixeltool.pro/tools/emoji-list,mobile,60,6010,479,0.001,2018,5647,,,
https://pixeltool.pro/tools/text-emoticons,mobile,63,6616,243,0.000,2939,5349,,,
https://pixeltool.pro/tools/text-to-speech,mobile,68,6327,129,0.000,2750,5408,,,
https://pixeltool.pro/tools/text-counter,mobile,68,7661,142,0.000,2173,5100,,,
https://pixeltool.pro/tools/text-diff-tool,mobile,71,6463,122,0.000,1873,4990,,,
https://pixeltool.pro/tools/invisible-character,mobile,72,6388,25,0.000,1843,5151,,,
https://pixeltool.pro/tools/morse-code-translator,mobile,73,6476,31,0.000,1845,4886,,,
https://pixeltool.pro/tools/team-randomizer,mobile,71,6328,187,0.000,1746,4830,,,
https://pixeltool.pro/tools/draw-lots,mobile,81,5108,34,0.004,1352,2720,,,
https://pixeltool.pro/tools/random-number-generator,mobile,67,6311,132,0.000,2933,5761,,,
https://pixeltool.pro/tools/random-list-generator,mobile,73,6461,55,0.000,1844,4873,,,
https://pixeltool.pro/tools/coin-flip,mobile,67,6536,103,0.000,2940,5757,,,
https://pixeltool.pro/tools/dice-roller,mobile,66,7661,91,0.000,2924,5404,,,
https://pixeltool.pro/tools/fortune-wheel,mobile,73,6312,77,0.000,1857,4926,,,
https://pixeltool.pro/tools/qr-generator,mobile,72,6461,102,0.000,1855,5070,,,
https://pixeltool.pro/tools/qr-scanner,mobile,81,4953,13,0.004,1352,2785,,,
https://pixeltool.pro/tools/password-generator,mobile,69,6310,82,0.000,2600,5579,,,
https://pixeltool.pro/tools/base64-encoder,mobile,66,6323,182,0.000,2644,5810,,,
https://pixeltool.pro/tools/jwt-decoder,mobile,67,6459,158,0.000,2656,5488,,,
https://pixeltool.pro/tools/uuid-generator,mobile,73,6314,26,0.000,1839,4873,,,
https://pixeltool.pro/tools/svg-to-base64-encoder,mobile,70,6311,179,0.000,1876,5259,,,
https://pixeltool.pro/tools/youtube-thumbnail-downloader,mobile,69,7826,7,0.000,2275,5055,,,
https://pixeltool.pro/tools/mock-data-generator,mobile,56,8579,528,0.000,1878,5464,,,
https://pixeltool.pro/tools/utm-link-builder,mobile,70,7895,101,0.000,1847,4911,,,
https://pixeltool.pro/tools/image-size-checker,mobile,70,8027,118,0.000,1861,4930,,,
https://pixeltool.pro/tools/system-info,mobile,72,6475,97,0.000,1686,4959,,,
